🧘‍♂️ Top 647 all days (stability 5-8, sorted by avgFirePeace desc):

188. 1990-09-18T13:10 | meditate=false | fire=6 | peace=3.5 | stability=8 | growth=9.80 | avgFirePeace=4.75
189. 1991-07-30T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
190. 1991-08-01T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=7.20 | avgFirePeace=4.75
191. 1991-08-03T13:10 | meditate=false | fire=3.5 | peace=6 | stability=8 | growth=5.50 | avgFirePeace=4.75
192. 1991-10-02T13:10 | meditate=false | fire=6 | peace=3.5 | stability=8 | growth=8.40 | avgFirePeace=4.75
193. 1991-11-10T13:10 | meditate=false | fire=6.5 | peace=3 | stability=8 | growth=9.75 | avgFirePeace=4.75
194. 1991-11-14T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=6.00 | avgFirePeace=4.75
195. 1991-12-16T13:10 | meditate=false | fire=5.5 | peace=4 | stability=7 | growth=7.70 | avgFirePeace=4.75
196. 1991-12-28T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.70 | avgFirePeace=4.75
197. 1992-03-11T13:10 | meditate=false | fire=4 | peace=5.5 | stability=8 | growth=5.40 | avgFirePeace=4.75
198. 1992-03-26T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.15 | avgFirePeace=4.75
199. 1992-04-27T13:10 | meditate=true | fire=5 | peace=4.5 | stability=7 | growth=7.70 | avgFirePeace=4.75
200. 1992-10-07T13:10 | meditate=true | fire=6 | peace=3.5 | stability=7 | growth=9.80 | avgFirePeace=4.75
201. 1993-10-03T13:10 | meditate=true | fire=4.5 | peace=5 | stability=7 | growth=6.50 | avgFirePeace=4.75
202. 1994-12-04T13:10 | meditate=true | fire=4 | peace=5.5 | stability=6 | growth=5.00 | avgFirePeace=4.75
203. 1996-06-06T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
204. 1996-06-12T13:10 | meditate=true | fire=6 | peace=3.5 | stability=8 | growth=8.80 | avgFirePeace=4.75
205. 1996-09-08T13:10 | meditate=true | fire=6 | peace=3.5 | stability=8 | growth=8.40 | avgFirePeace=4.75
206. 1996-11-07T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.70 | avgFirePeace=4.75
207. 1997-08-15T13:10 | meditate=false | fire=6.5 | peace=3 | stability=8 | growth=10.20 | avgFirePeace=4.75
208. 1998-02-14T13:10 | meditate=true | fire=4 | peace=5.5 | stability=7 | growth=6.00 | avgFirePeace=4.75
209. 1998-03-15T13:10 | meditate=false | fire=5.5 | peace=4 | stability=8 | growth=7.50 | avgFirePeace=4.75
210. 1998-04-02T13:10 | meditate=true | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
211. 1998-10-06T13:10 | meditate=true | fire=5.5 | peace=4 | stability=7 | growth=9.00 | avgFirePeace=4.75
212. 1998-12-08T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=7.70 | avgFirePeace=4.75
213. 1999-02-19T13:10 | meditate=false | fire=4 | peace=5.5 | stability=8 | growth=5.60 | avgFirePeace=4.75
214. 1999-03-16T13:10 | meditate=false | fire=4.5 | peace=5 | stability=7 | growth=6.75 | avgFirePeace=4.75
215. 1999-03-18T13:10 | meditate=false | fire=6 | peace=3.5 | stability=7 | growth=8.80 | avgFirePeace=4.75
216. 1988-04-30T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=7 | growth=7.15 | avgFirePeace=4.50
217. 1988-05-29T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=7 | growth=6.60 | avgFirePeace=4.50
218. 1988-05-30T13:10 | meditate=false | fire=5 | peace=4 | stability=7 | growth=7.80 | avgFirePeace=4.50
219. 1988-06-04T13:10 | meditate=false | fire=3 | peace=6 | stability=8 | growth=4.00 | avgFirePeace=4.50
220. 1988-07-12T13:10 | meditate=true | fire=3.5 | peace=5.5 | stability=7 | growth=6.05 | avgFirePeace=4.50
221. 1988-07-14T13:10 | meditate=false | fire=3 | peace=6 | stability=8 | growth=5.40 | avgFirePeace=4.50
222. 1988-07-25T13:10 | meditate=false | fire=3.5 | peace=5.5 | stability=8 | growth=5.20 | avgFirePeace=4.50
223. 1988-08-30T13:10 | meditate=false | fire=3 | peace=6 | stability=7 | growth=5.00 | avgFirePeace=4.50
224. 1988-12-07T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=8 | growth=5.50 | avgFirePeace=4.50
225. 1988-12-08T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=8 | growth=5.50 | avgFirePeace=4.50
226. 1988-12-12T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=8 | growth=5.85 | avgFirePeace=4.50
